folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used
Acculturation,accult_mesa,Acculturation Score - MESA,"This is a summary acculturation score based on nativity, language spoken at home, and years of residence in the U.S. It is defined as the sum of nativity subscore and language subscore.",numeric,"","","","",""
Acculturation,age_immi,Age of immigration among participants who were not born in US mainland (50 US States + DC),"The age of immigration is defined as if participant was not born in the US 50 states, then the age of immigration is equal to the participant's age minus years lived in the US or if participant was born in the US 50 states, then the age of immigration is equal to missing.",numeric,years,"","","",""
Acculturation,bkgrd1,Background with Other reclassified,The self-identification with a Hispanic/Latino cultural group allowed for selection of an 'other' designation. This variable groups the test responses of 'other' for variations of 'Dominican' so that undercounts do not occur for that group.,choices,"",latino_background,"","",""
Acculturation,bkgrd1_c6,Background with Other reclassified (collapsed categories),Variable collapses 'Central' and 'South American' categories into one group and the 'Other' and 'More than one heritage' categories into one group.,choices,"",latino_background2,"","",""
Acculturation,bkgrd1_c7,7-level re-classification of Hispanic/Latino Background,Variable combined 'Other' and 'More than one heritage' categories into one group.,choices,"",latino_background3,"","",""
Acculturation,ethis,Ethnic identity score,Variable indicates the degree of ethnic identity.,numeric,"","","","",""
Acculturation,imgen_c2,Immigrant generation (2 categories),"This variable determines the participants immigrant generation status based on a combination of the country of origin of the participant, maternal and paternal parents, and/or the maternal and paternal grandparents.",choices,"",generation2,"","",""
Acculturation,imgen_c4,Immigrant generation (4 categories),"This variable determines the participant's immigrant generation status based on a combination of the country of origin of the participant, maternal and paternal parents, and/or the maternal and paternal grandparents.",choices,"",generation,"","",""
Acculturation,lang_pref,Language preference,This variable determines which language was preferred to be used for the baseline examination.,choices,"",language,"","",""
Acculturation,language_subscore_mesa,Language Subscore - MESA,This is a language subscore of the acculturation score similar to the one used in MESA.,numeric,"","","","",""
Acculturation,nativity_subscore_mesa,Nativity Subscore - MESA,This is a nativity subscore of the acculturation score similar to the one used in MESA.,choices,"",nativity,"","",""
Acculturation,race,Race Group (self-report),The self-identification with a race group.,choices,"",race,"","",""
Acculturation,sash_lang,Short acculturation scale for Hispanics-language subscale,This variable indicates the degree of language acculturation.,numeric,"","","","",""
Acculturation,sash_soc,SASH ethic social relations subscale,This variable indicates the degree of social acculturation.,numeric,"","","","",""
Acculturation,site_bkgrd,Cross-Classification of Center and Hispanic/Latino Background,This variable is the self-identification with a Hispanic/Latino cultural group crossed by field center.,choices,"",site_background,"","",""
Acculturation,site_bkgrd_45plus,"Cross-Classification of Center and Hispanic Latino Background, 45+ Years Only","This variable is the self-identification with a Hispanic/Latino cultural group, based on a sub-cohort of participants 45+ years old, crossed by field center and grouped into categories.",choices,"",site_background2,"","",""
Acculturation,us_born,Born in mainland US (50 States + DC),This variable groups the place of birth of the participant to the United States (50 states only) or other place of birth.,choices,"",noyes01,"","",""
Acculturation,us_native,US Born (including territories),"This variable groups the place of birth of the participant to the United States (50 states and US territories which includes Puerto-Rico, Guam, and Virgin Islands) or other place of birth.",choices,"",noyes01,"","",""
Acculturation,yrsus,Years lived in US,"This variable defines years lived in the US as if the participant was not born in the US, then the years lived in the US is equal to the response of PIEA7 or if participant was born in the US, then the years lived in the US is equal to the participant's age.",numeric,years,"","","",""
Acculturation,yrsus_c2,2-level grouped years lived in the US (50 States),This variable is grouped and defined as living less than 10 years in the US or living 10 years or more in the US.,choices,"",yrsus_c2,"","",""
Administrative,any_permit,Any permission for public use of data,Thi variable combines the 3 permission variables to determine whether or not a study participant gave any permission for public use of data.,choices,"",use_permitted,"","",""
Administrative,center,Center,This variable is the field center that was derived from the city of origin.,choices,"",centerid,"","",""
Administrative,centernum,Participant's Field Center - numeric,This variable is the field center that was derived from the city of origin.,choices,"",siteid,"","",""
Administrative,commercial_permit,Permission for for-profit use of data,This variable determines whether or not a study participant gave permission for use for for-profit use of study data.,choices,"",use_permitted,"","",""
Administrative,consent,Consent to Participate in HCHS\SOL Study,This variable determines whether or not a study participant consented to participate in the baseline examination study.,choices,"",noyes01,"","",""
